
veth_dict: {'node_0_3': 'vethf137a78', 'node_0_4': 'veth42162d3'}, eth_dict: {'node_0_3': 'eth2', 'node_0_4': 'eth1'}
veth_dict: {'node_2_1': 'vethb7749a9', 'node_3_1': 'vethd235b14'}, eth_dict: {'node_2_1': 'eth2', 'node_3_1': 'eth1'}
veth_dict: {'node_0_4': 'vethb59d188', 'node_0_5': 'vethb01b8ca'}, eth_dict: {'node_0_4': 'eth2', 'node_0_5': 'eth3'}
veth_dict: {'node_3_5': 'veth50fd48d', 'node_4_5': 'veth18ef50f'}, eth_dict: {'node_3_5': 'eth3', 'node_4_5': 'eth1'}
veth_dict: {'node_3_3': 'veth6ebdc87', 'node_4_3': 'veth7c75a4d'}, eth_dict: {'node_3_3': 'eth4', 'node_4_3': 'eth4'}
veth_dict: {'node_5_0': 'vethd455313', 'node_4_0': 'veth87dbe9a'}, eth_dict: {'node_5_0': 'eth4', 'node_4_0': 'eth3'}
veth_dict: {'node_6_6': 'vethdab94cf', 'node_6_0': 'veth552ed43'}, eth_dict: {'node_6_6': 'eth1', 'node_6_0': 'eth1'}
veth_dict: {'node_1_4': 'vethc4a0361', 'node_2_4': 'vethf0f80cf'}, eth_dict: {'node_1_4': 'eth3', 'node_2_4': 'eth1'}
veth_dict: {'node_3_1': 'vethbc2da97', 'node_3_2': 'veth772d9ba'}, eth_dict: {'node_3_1': 'eth3', 'node_3_2': 'eth2'}
veth_dict: {'node_1_6': 'vetha43a59c', 'node_1_0': 'vethf46e7b2'}, eth_dict: {'node_1_6': 'eth3', 'node_1_0': 'eth4'}
veth_dict: {'node_4_6': 'vethdd0b72b', 'node_4_0': 'veth44788dc'}, eth_dict: {'node_4_6': 'eth3', 'node_4_0': 'eth4'}
veth_dict: {'node_1_1': 'veth121d808', 'node_2_1': 'veth2cd5713'}, eth_dict: {'node_1_1': 'eth4', 'node_2_1': 'eth3'}
veth_dict: {'node_0_2': 'vethf6b3a3a', 'node_0_3': 'veth7a2355d'}, eth_dict: {'node_0_2': 'eth2', 'node_0_3': 'eth1'}
veth_dict: {'node_3_4': 'veth868504a', 'node_3_5': 'vethdaf8cf8'}, eth_dict: {'node_3_4': 'eth1', 'node_3_5': 'eth1'}
veth_dict: {'node_5_4': 'veth5256a5b', 'node_5_5': 'veth4585009'}, eth_dict: {'node_5_4': 'eth3', 'node_5_5': 'eth4'}
veth_dict: {'node_1_4': 'veth58dd8e9', 'node_1_5': 'vethe2f20d4'}, eth_dict: {'node_1_4': 'eth2', 'node_1_5': 'eth2'}
veth_dict: {'node_2_3': 'veth7f238f7', 'node_3_3': 'veth41d69fe'}, eth_dict: {'node_2_3': 'eth4', 'node_3_3': 'eth1'}
veth_dict: {'node_3_5': 'vethb7a35aa', 'node_3_6': 'vethcd258f6'}, eth_dict: {'node_3_5': 'eth2', 'node_3_6': 'eth2'}
veth_dict: {'node_4_0': 'veth08d6717', 'node_4_1': 'vetheb2542b'}, eth_dict: {'node_4_0': 'eth2', 'node_4_1': 'eth2'}
veth_dict: {'node_6_5': 'vethdf65445', 'node_6_6': 'veth3e3f603'}, eth_dict: {'node_6_5': 'eth3', 'node_6_6': 'eth3'}
veth_dict: {'node_6_3': 'veth21db6cf', 'node_6_4': 'veth4652e04'}, eth_dict: {'node_6_3': 'eth2', 'node_6_4': 'eth1'}
veth_dict: {'node_6_0': 'veth4ae358f', 'node_6_1': 'veth915be61'}, eth_dict: {'node_6_0': 'eth3', 'node_6_1': 'eth2'}
veth_dict: {'node_3_0': 'veth1704d1d', 'node_4_0': 'veth9542ab6'}, eth_dict: {'node_3_0': 'eth2', 'node_4_0': 'eth1'}
veth_dict: {'node_4_5': 'veth1fed8b7', 'node_5_5': 'veth13e081e'}, eth_dict: {'node_4_5': 'eth4', 'node_5_5': 'eth3'}
veth_dict: {'node_4_2': 'veth0ec819c', 'node_5_2': 'veth99c79a3'}, eth_dict: {'node_4_2': 'eth2', 'node_5_2': 'eth1'}
veth_dict: {'node_5_0': 'veth29d971c', 'node_5_1': 'vetha0efc6a'}, eth_dict: {'node_5_0': 'eth1', 'node_5_1': 'eth1'}
veth_dict: {'node_0_6': 'vethe437203', 'node_1_6': 'veth16fcb4f'}, eth_dict: {'node_0_6': 'eth3', 'node_1_6': 'eth1'}
veth_dict: {'node_1_1': 'vetha31aea2', 'node_1_2': 'vethe089c9d'}, eth_dict: {'node_1_1': 'eth3', 'node_1_2': 'eth2'}
veth_dict: {'node_2_0': 'veth6e63e82', 'node_3_0': 'vethbdc7f15'}, eth_dict: {'node_2_0': 'eth4', 'node_3_0': 'eth4'}
veth_dict: {'node_0_3': 'vethdc64ebb', 'node_1_3': 'vetha6f2cee'}, eth_dict: {'node_0_3': 'eth3', 'node_1_3': 'eth3'}
